lider,Agent_ID,nivel,Date,dias_semana,meta,trabalha
39,1,5,2077-01-01,Sexta-feira,4.8100000000000005,True
39,1,5,2077-01-03,Domingo,0.0,False
39,1,5,2077-01-04,Segunda-feira,4.8100000000000005,True
39,1,5,2077-01-06,Quarta-feira,0.0,False
39,1,5,2077-01-07,Quinta-Feira,4.8100000000000005,True
39,1,5,2077-01-08,Sexta-feira,4.8100000000000005,True
39,1,5,2077-01-10,Domingo,0.0,False
39,1,5,2077-01-11,Segunda-feira,4.8100000000000005,True
39,1,5,2077-01-13,Quarta-feira,0.0,False
39,1,5,2077-01-14,Quinta-Feira,4.8100000000000005,True
39,1,5,2077-01-15,Sexta-feira,4.8100000000000005,True
39,1,5,2077-01-17,Domingo,0.0,False
39,1,5,2077-01-18,Segunda-feira,4.8100000000000005,True
39,1,5,2077-01-20,Quarta-feira,0.0,False
39,1,5,2077-01-21,Quinta-Feira,4.8100000000000005,True
39,1,5,2077-01-22,Sexta-feira,4.8100000000000005,True
39,1,5,2077-01-25,Segunda-feira,4.8100000000000005,True
39,1,5,2077-01-27,Quarta-feira,0.0,False
39,1,5,2077-01-28,Quinta-Feira,4.8100000000000005,True
39,1,5,2077-01-29,Sexta-feira,4.8100000000000005,True
39,1,5,2077-01-31,Domingo,0.0,False
52,2,5,2077-01-01,Sexta-feira,0.0,False
52,2,5,2077-01-02,Sábado,3.9000000000000004,True
52,2,5,2077-01-03,Domingo,3.9000000000000004,True
52,2,5,2077-01-04,Segunda-feira,3.9000000000000004,True
52,2,5,2077-01-05,Terça-feira,3.9000000000000004,True
52,2,5,2077-01-08,Sexta-feira,0.0,False
52,2,5,2077-01-09,Sábado,3.9000000000000004,True
52,2,5,2077-01-10,Domingo,3.9000000000000004,True
52,2,5,2077-01-11,Segunda-feira,3.9000000000000004,True
52,2,5,2077-01-12,Terça-feira,3.9000000000000004,True
52,2,5,2077-01-15,Sexta-feira,0.0,False
52,2,5,2077-01-16,Sábado,3.9000000000000004,True
52,2,5,2077-01-17,Domingo,3.9000000000000004,True
52,2,5,2077-01-18,Segunda-feira,3.9000000000000004,True
52,2,5,2077-01-19,Terça-feira,3.9000000000000004,True
52,2,5,2077-01-22,Sexta-feira,0.0,False
52,2,5,2077-01-23,Sábado,3.9000000000000004,True
52,2,5,2077-01-25,Segunda-feira,3.9000000000000004,True
52,2,5,2077-01-26,Terça-feira,3.9000000000000004,True
52,2,5,2077-01-29,Sexta-feira,0.0,False
52,2,5,2077-01-30,Sábado,3.9000000000000004,True
52,2,5,2077-01-31,Domingo,3.9000000000000004,True
29,3,4,2077-01-03,Domingo,0.0,False
29,3,4,2077-01-04,Segunda-feira,4.625,True
29,3,4,2077-01-05,Terça-feira,4.625,True
29,3,4,2077-01-06,Quarta-feira,4.625,True
29,3,4,2077-01-07,Quinta-Feira,4.625,True
29,3,4,2077-01-10,Domingo,0.0,False
29,3,4,2077-01-11,Segunda-feira,4.625,True
29,3,4,2077-01-12,Terça-feira,4.625,True
29,3,4,2077-01-13,Quarta-feira,4.625,True
29,3,4,2077-01-14,Quinta-Feira,4.625,True
29,3,4,2077-01-17,Domingo,0.0,False
29,3,4,2077-01-18,Segunda-feira,4.625,True
29,3,4,2077-01-19,Terça-feira,4.625,True
29,3,4,2077-01-20,Quarta-feira,4.625,True
29,3,4,2077-01-21,Quinta-Feira,4.625,True
29,3,4,2077-01-25,Segunda-feira,4.625,True
29,3,4,2077-01-26,Terça-feira,4.625,True
29,3,4,2077-01-27,Quarta-feira,4.625,True
29,3,4,2077-01-28,Quinta-Feira,4.625,True
29,3,4,2077-01-31,Domingo,0.0,False
15,4,5,2077-01-01,Sexta-feira,5.2,True
15,4,5,2077-01-02,Sábado,5.2,True
15,4,5,2077-01-04,Segunda-feira,0.0,False
15,4,5,2077-01-06,Quarta-feira,0.0,False
15,4,5,2077-01-07,Quinta-Feira,5.2,True
15,4,5,2077-01-08,Sexta-feira,5.2,True
15,4,5,2077-01-09,Sábado,5.2,True
15,4,5,2077-01-11,Segunda-feira,0.0,False
15,4,5,2077-01-13,Quarta-feira,0.0,False
15,4,5,2077-01-14,Quinta-Feira,5.2,True
15,4,5,2077-01-15,Sexta-feira,5.2,True
15,4,5,2077-01-16,Sábado,5.2,True
15,4,5,2077-01-18,Segunda-feira,0.0,False
15,4,5,2077-01-20,Quarta-feira,0.0,False
15,4,5,2077-01-21,Quinta-Feira,5.2,True
15,4,5,2077-01-22,Sexta-feira,5.2,True
15,4,5,2077-01-23,Sábado,5.2,True
15,4,5,2077-01-25,Segunda-feira,0.0,False
15,4,5,2077-01-27,Quarta-feira,0.0,False
15,4,5,2077-01-28,Quinta-Feira,5.2,True
15,4,5,2077-01-29,Sexta-feira,5.2,True
15,4,5,2077-01-30,Sábado,5.2,True
43,5,1,2077-01-02,Sábado,0.0,False
43,5,1,2077-01-03,Domingo,4.0,True
43,5,1,2077-01-04,Segunda-feira,4.0,True
43,5,1,2077-01-05,Terça-feira,4.0,True
43,5,1,2077-01-06,Quarta-feira,4.0,True
43,5,1,2077-01-09,Sábado,0.0,False
43,5,1,2077-01-10,Domingo,4.0,True
43,5,1,2077-01-11,Segunda-feira,4.0,True
43,5,1,2077-01-12,Terça-feira,4.0,True
43,5,1,2077-01-13,Quarta-feira,4.0,True
43,5,1,2077-01-16,Sábado,0.0,False
43,5,1,2077-01-17,Domingo,4.0,True
43,5,1,2077-01-18,Segunda-feira,4.0,True
43,5,1,2077-01-19,Terça-feira,4.0,True
43,5,1,2077-01-20,Quarta-feira,4.0,True
43,5,1,2077-01-23,Sábado,0.0,False
43,5,1,2077-01-25,Segunda-feira,4.0,True
43,5,1,2077-01-26,Terça-feira,4.0,True
43,5,1,2077-01-27,Quarta-feira,4.0,True
43,5,1,2077-01-30,Sábado,0.0,False
43,5,1,2077-01-31,Domingo,4.0,True
8,6,1,2077-01-03,Domingo,0.0,False
8,6,1,2077-01-04,Segunda-feira,3.7,True
8,6,1,2077-01-05,Terça-feira,3.7,True
8,6,1,2077-01-06,Quarta-feira,3.7,True
8,6,1,2077-01-07,Quinta-Feira,3.7,True
8,6,1,2077-01-10,Domingo,0.0,False
8,6,1,2077-01-11,Segunda-feira,3.7,True
8,6,1,2077-01-12,Terça-feira,3.7,True
8,6,1,2077-01-13,Quarta-feira,3.7,True
8,6,1,2077-01-14,Quinta-Feira,3.7,True
8,6,1,2077-01-17,Domingo,0.0,False
8,6,1,2077-01-18,Segunda-feira,3.7,True
8,6,1,2077-01-19,Terça-feira,3.7,True
8,6,1,2077-01-20,Quarta-feira,3.7,True
8,6,1,2077-01-21,Quinta-Feira,3.7,True
8,6,1,2077-01-25,Segunda-feira,3.7,True
8,6,1,2077-01-26,Terça-feira,3.7,True
8,6,1,2077-01-27,Quarta-feira,3.7,True
8,6,1,2077-01-28,Quinta-Feira,3.7,True
8,6,1,2077-01-31,Domingo,0.0,False
21,7,4,2077-01-02,Sábado,0.0,False
21,7,4,2077-01-03,Domingo,5.0,True
21,7,4,2077-01-04,Segunda-feira,5.0,True
21,7,4,2077-01-05,Terça-feira,5.0,True
21,7,4,2077-01-07,Quinta-Feira,0.0,False
21,7,4,2077-01-09,Sábado,0.0,False
21,7,4,2077-01-10,Domingo,5.0,True
21,7,4,2077-01-11,Segunda-feira,5.0,True
21,7,4,2077-01-12,Terça-feira,5.0,True
21,7,4,2077-01-14,Quinta-Feira,0.0,False
21,7,4,2077-01-16,Sábado,0.0,False
21,7,4,2077-01-17,Domingo,5.0,True
21,7,4,2077-01-18,Segunda-feira,5.0,True
21,7,4,2077-01-19,Terça-feira,5.0,True
21,7,4,2077-01-21,Quinta-Feira,0.0,False
21,7,4,2077-01-23,Sábado,0.0,False
21,7,4,2077-01-25,Segunda-feira,5.0,True
21,7,4,2077-01-26,Terça-feira,5.0,True
21,7,4,2077-01-28,Quinta-Feira,0.0,False
21,7,4,2077-01-30,Sábado,0.0,False
21,7,4,2077-01-31,Domingo,5.0,True
39,8,4,2077-01-01,Sexta-feira,0.0,False
39,8,4,2077-01-03,Domingo,0.0,False
39,8,4,2077-01-04,Segunda-feira,4.625,True
39,8,4,2077-01-05,Terça-feira,4.625,True
39,8,4,2077-01-06,Quarta-feira,4.625,True
39,8,4,2077-01-08,Sexta-feira,0.0,False
39,8,4,2077-01-10,Domingo,0.0,False
39,8,4,2077-01-11,Segunda-feira,4.625,True
39,8,4,2077-01-12,Terça-feira,4.625,True
39,8,4,2077-01-13,Quarta-feira,4.625,True
39,8,4,2077-01-15,Sexta-feira,0.0,False
39,8,4,2077-01-17,Domingo,0.0,False
39,8,4,2077-01-18,Segunda-feira,4.625,True
39,8,4,2077-01-19,Terça-feira,4.625,True
39,8,4,2077-01-20,Quarta-feira,4.625,True
39,8,4,2077-01-22,Sexta-feira,0.0,False
39,8,4,2077-01-25,Segunda-feira,4.625,True
39,8,4,2077-01-26,Terça-feira,4.625,True
39,8,4,2077-01-27,Quarta-feira,4.625,True
39,8,4,2077-01-29,Sexta-feira,0.0,False
39,8,4,2077-01-31,Domingo,0.0,False
58,9,4,2077-01-01,Sexta-feira,3.75,True
58,9,4,2077-01-04,Segunda-feira,0.0,False
58,9,4,2077-01-05,Terça-feira,3.75,True
58,9,4,2077-01-06,Quarta-feira,3.75,True
58,9,4,2077-01-07,Quinta-Feira,3.75,True
58,9,4,2077-01-08,Sexta-feira,3.75,True
58,9,4,2077-01-11,Segunda-feira,0.0,False
58,9,4,2077-01-12,Terça-feira,3.75,True
58,9,4,2077-01-13,Quarta-feira,3.75,True
58,9,4,2077-01-14,Quinta-Feira,3.75,True
58,9,4,2077-01-15,Sexta-feira,3.75,True
58,9,4,2077-01-18,Segunda-feira,0.0,False
58,9,4,2077-01-19,Terça-feira,3.75,True
58,9,4,2077-01-20,Quarta-feira,3.75,True
58,9,4,2077-01-21,Quinta-Feira,3.75,True
58,9,4,2077-01-22,Sexta-feira,3.75,True
58,9,4,2077-01-25,Segunda-feira,0.0,False
58,9,4,2077-01-26,Terça-feira,3.75,True
58,9,4,2077-01-27,Quarta-feira,3.75,True
58,9,4,2077-01-28,Quinta-Feira,3.75,True
58,9,4,2077-01-29,Sexta-feira,3.75,True
19,10,3,2077-01-01,Sexta-feira,3.5999999999999996,True
19,10,3,2077-01-02,Sábado,3.5999999999999996,True
19,10,3,2077-01-05,Terça-feira,0.0,False
19,10,3,2077-01-06,Quarta-feira,3.5999999999999996,True
19,10,3,2077-01-07,Quinta-Feira,3.5999999999999996,True
19,10,3,2077-01-08,Sexta-feira,3.5999999999999996,True
