,lider,Agent_ID,nivel,Date,dias_semana,meta,trabalha
0,39,1,5,2077-01-01,Sexta-feira,4.8100000000000005,True
1,39,1,5,2077-01-02,Sábado,4.8100000000000005,True
2,39,1,5,2077-01-03,Domingo,0.0,False
3,39,1,5,2077-01-04,Segunda-feira,4.8100000000000005,True
4,39,1,5,2077-01-05,Terça-feira,4.8100000000000005,True
5,39,1,5,2077-01-06,Quarta-feira,0.0,False
6,39,1,5,2077-01-07,Quinta-feira,4.8100000000000005,True
7,39,1,5,2077-01-08,Sexta-feira,4.8100000000000005,True
8,39,1,5,2077-01-09,Sábado,4.8100000000000005,True
9,39,1,5,2077-01-10,Domingo,0.0,False
10,39,1,5,2077-01-11,Segunda-feira,4.8100000000000005,True
11,39,1,5,2077-01-12,Terça-feira,4.8100000000000005,True
12,39,1,5,2077-01-13,Quarta-feira,0.0,False
13,39,1,5,2077-01-14,Quinta-feira,4.8100000000000005,True
14,39,1,5,2077-01-15,Sexta-feira,4.8100000000000005,True
15,39,1,5,2077-01-16,Sábado,4.8100000000000005,True
16,39,1,5,2077-01-17,Domingo,0.0,False
17,39,1,5,2077-01-18,Segunda-feira,4.8100000000000005,True
18,39,1,5,2077-01-19,Terça-feira,4.8100000000000005,True
19,39,1,5,2077-01-20,Quarta-feira,0.0,False
20,39,1,5,2077-01-21,Quinta-feira,4.8100000000000005,True
21,39,1,5,2077-01-22,Sexta-feira,4.8100000000000005,True
22,39,1,5,2077-01-23,Sábado,4.8100000000000005,True
23,39,1,5,2077-01-24,Domingo,0.0,False
24,39,1,5,2077-01-25,Segunda-feira,4.8100000000000005,True
25,39,1,5,2077-01-26,Terça-feira,4.8100000000000005,True
26,39,1,5,2077-01-27,Quarta-feira,0.0,False
27,39,1,5,2077-01-28,Quinta-feira,4.8100000000000005,True
28,39,1,5,2077-01-29,Sexta-feira,4.8100000000000005,True
29,39,1,5,2077-01-30,Sábado,4.8100000000000005,True
30,39,1,5,2077-01-31,Domingo,0.0,False
31,52,2,5,2077-01-01,Sexta-feira,0.0,False
32,52,2,5,2077-01-02,Sábado,3.9000000000000004,True
33,52,2,5,2077-01-03,Domingo,3.9000000000000004,True
34,52,2,5,2077-01-04,Segunda-feira,3.9000000000000004,True
35,52,2,5,2077-01-05,Terça-feira,3.9000000000000004,True
36,52,2,5,2077-01-06,Quarta-feira,3.9000000000000004,True
37,52,2,5,2077-01-07,Quinta-feira,0.0,False
38,52,2,5,2077-01-08,Sexta-feira,0.0,False
39,52,2,5,2077-01-09,Sábado,3.9000000000000004,True
40,52,2,5,2077-01-10,Domingo,3.9000000000000004,True
41,52,2,5,2077-01-11,Segunda-feira,3.9000000000000004,True
42,52,2,5,2077-01-12,Terça-feira,3.9000000000000004,True
43,52,2,5,2077-01-13,Quarta-feira,3.9000000000000004,True
44,52,2,5,2077-01-14,Quinta-feira,0.0,False
45,52,2,5,2077-01-15,Sexta-feira,0.0,False
46,52,2,5,2077-01-16,Sábado,3.9000000000000004,True
47,52,2,5,2077-01-17,Domingo,3.9000000000000004,True
48,52,2,5,2077-01-18,Segunda-feira,3.9000000000000004,True
49,52,2,5,2077-01-19,Terça-feira,3.9000000000000004,True
50,52,2,5,2077-01-20,Quarta-feira,3.9000000000000004,True
51,52,2,5,2077-01-21,Quinta-feira,0.0,False
52,52,2,5,2077-01-22,Sexta-feira,0.0,False
53,52,2,5,2077-01-23,Sábado,3.9000000000000004,True
54,52,2,5,2077-01-24,Domingo,0.0,False
55,52,2,5,2077-01-25,Segunda-feira,3.9000000000000004,True
56,52,2,5,2077-01-26,Terça-feira,3.9000000000000004,True
57,52,2,5,2077-01-27,Quarta-feira,3.9000000000000004,True
58,52,2,5,2077-01-28,Quinta-feira,0.0,False
59,52,2,5,2077-01-29,Sexta-feira,0.0,False
60,52,2,5,2077-01-30,Sábado,3.9000000000000004,True
61,52,2,5,2077-01-31,Domingo,3.9000000000000004,True
62,29,3,4,2077-01-01,Sexta-feira,4.625,True
63,29,3,4,2077-01-02,Sábado,0.0,False
64,29,3,4,2077-01-03,Domingo,0.0,False
65,29,3,4,2077-01-04,Segunda-feira,4.625,True
66,29,3,4,2077-01-05,Terça-feira,4.625,True
67,29,3,4,2077-01-06,Quarta-feira,4.625,True
68,29,3,4,2077-01-07,Quinta-feira,4.625,True
69,29,3,4,2077-01-08,Sexta-feira,4.625,True
70,29,3,4,2077-01-09,Sábado,0.0,False
71,29,3,4,2077-01-10,Domingo,0.0,False
72,29,3,4,2077-01-11,Segunda-feira,4.625,True
73,29,3,4,2077-01-12,Terça-feira,4.625,True
74,29,3,4,2077-01-13,Quarta-feira,4.625,True
75,29,3,4,2077-01-14,Quinta-feira,4.625,True
76,29,3,4,2077-01-15,Sexta-feira,4.625,True
77,29,3,4,2077-01-16,Sábado,0.0,False
78,29,3,4,2077-01-17,Domingo,0.0,False
79,29,3,4,2077-01-18,Segunda-feira,4.625,True
80,29,3,4,2077-01-19,Terça-feira,4.625,True
81,29,3,4,2077-01-20,Quarta-feira,4.625,True
82,29,3,4,2077-01-21,Quinta-feira,4.625,True
83,29,3,4,2077-01-22,Sexta-feira,4.625,True
84,29,3,4,2077-01-23,Sábado,0.0,False
85,29,3,4,2077-01-24,Domingo,0.0,False
86,29,3,4,2077-01-25,Segunda-feira,4.625,True
87,29,3,4,2077-01-26,Terça-feira,4.625,True
88,29,3,4,2077-01-27,Quarta-feira,4.625,True
89,29,3,4,2077-01-28,Quinta-feira,4.625,True
90,29,3,4,2077-01-29,Sexta-feira,4.625,True
91,29,3,4,2077-01-30,Sábado,0.0,False
92,29,3,4,2077-01-31,Domingo,0.0,False
93,15,4,5,2077-01-01,Sexta-feira,5.2,True
94,15,4,5,2077-01-02,Sábado,5.2,True
95,15,4,5,2077-01-03,Domingo,5.2,True
96,15,4,5,2077-01-04,Segunda-feira,0.0,False
97,15,4,5,2077-01-05,Terça-feira,5.2,True
98,15,4,5,2077-01-06,Quarta-feira,0.0,False
99,15,4,5,2077-01-07,Quinta-feira,5.2,True
100,15,4,5,2077-01-08,Sexta-feira,5.2,True
101,15,4,5,2077-01-09,Sábado,5.2,True
102,15,4,5,2077-01-10,Domingo,5.2,True
103,15,4,5,2077-01-11,Segunda-feira,0.0,False
104,15,4,5,2077-01-12,Terça-feira,5.2,True
105,15,4,5,2077-01-13,Quarta-feira,0.0,False
106,15,4,5,2077-01-14,Quinta-feira,5.2,True
107,15,4,5,2077-01-15,Sexta-feira,5.2,True
108,15,4,5,2077-01-16,Sábado,5.2,True
109,15,4,5,2077-01-17,Domingo,5.2,True
110,15,4,5,2077-01-18,Segunda-feira,0.0,False
111,15,4,5,2077-01-19,Terça-feira,5.2,True
112,15,4,5,2077-01-20,Quarta-feira,0.0,False
113,15,4,5,2077-01-21,Quinta-feira,5.2,True
114,15,4,5,2077-01-22,Sexta-feira,5.2,True
115,15,4,5,2077-01-23,Sábado,5.2,True
116,15,4,5,2077-01-24,Domingo,0.0,False
117,15,4,5,2077-01-25,Segunda-feira,0.0,False
118,15,4,5,2077-01-26,Terça-feira,5.2,True
119,15,4,5,2077-01-27,Quarta-feira,0.0,False
120,15,4,5,2077-01-28,Quinta-feira,5.2,True
121,15,4,5,2077-01-29,Sexta-feira,5.2,True
122,15,4,5,2077-01-30,Sábado,5.2,True
123,15,4,5,2077-01-31,Domingo,5.2,True
124,43,5,1,2077-01-01,Sexta-feira,0.0,False
125,43,5,1,2077-01-02,Sábado,0.0,False
126,43,5,1,2077-01-03,Domingo,4.0,True
127,43,5,1,2077-01-04,Segunda-feira,4.0,True
128,43,5,1,2077-01-05,Terça-feira,4.0,True
129,43,5,1,2077-01-06,Quarta-feira,4.0,True
130,43,5,1,2077-01-07,Quinta-feira,4.0,True
131,43,5,1,2077-01-08,Sexta-feira,0.0,False
132,43,5,1,2077-01-09,Sábado,0.0,False
133,43,5,1,2077-01-10,Domingo,4.0,True
134,43,5,1,2077-01-11,Segunda-feira,4.0,True
135,43,5,1,2077-01-12,Terça-feira,4.0,True
136,43,5,1,2077-01-13,Quarta-feira,4.0,True
137,43,5,1,2077-01-14,Quinta-feira,4.0,True
138,43,5,1,2077-01-15,Sexta-feira,0.0,False
139,43,5,1,2077-01-16,Sábado,0.0,False
140,43,5,1,2077-01-17,Domingo,4.0,True
141,43,5,1,2077-01-18,Segunda-feira,4.0,True
142,43,5,1,2077-01-19,Terça-feira,4.0,True
143,43,5,1,2077-01-20,Quarta-feira,4.0,True
144,43,5,1,2077-01-21,Quinta-feira,4.0,True
145,43,5,1,2077-01-22,Sexta-feira,0.0,False
146,43,5,1,2077-01-23,Sábado,0.0,False
147,43,5,1,2077-01-24,Domingo,0.0,False
148,43,5,1,2077-01-25,Segunda-feira,4.0,True
149,43,5,1,2077-01-26,Terça-feira,4.0,True
150,43,5,1,2077-01-27,Quarta-feira,4.0,True
151,43,5,1,2077-01-28,Quinta-feira,4.0,True
152,43,5,1,2077-01-29,Sexta-feira,0.0,False
153,43,5,1,2077-01-30,Sábado,0.0,False
154,43,5,1,2077-01-31,Domingo,4.0,True
155,8,6,1,2077-01-01,Sexta-feira,3.7,True
156,8,6,1,2077-01-02,Sábado,0.0,False
157,8,6,1,2077-01-03,Domingo,0.0,False
158,8,6,1,2077-01-04,Segunda-feira,3.7,True
159,8,6,1,2077-01-05,Terça-feira,3.7,True
160,8,6,1,2077-01-06,Quarta-feira,3.7,True
161,8,6,1,2077-01-07,Quinta-feira,3.7,True
162,8,6,1,2077-01-08,Sexta-feira,3.7,True
163,8,6,1,2077-01-09,Sábado,0.0,False
164,8,6,1,2077-01-10,Domingo,0.0,False
165,8,6,1,2077-01-11,Segunda-feira,3.7,True
166,8,6,1,2077-01-12,Terça-feira,3.7,True
167,8,6,1,2077-01-13,Quarta-feira,3.7,True
168,8,6,1,2077-01-14,Quinta-feira,3.7,True
169,8,6,1,2077-01-15,Sexta-feira,3.7,True
170,8,6,1,2077-01-16,Sábado,0.0,False
171,8,6,1,2077-01-17,Domingo,0.0,False
172,8,6,1,2077-01-18,Segunda-feira,3.7,True
173,8,6,1,2077-01-19,Terça-feira,3.7,True
174,8,6,1,2077-01-20,Quarta-feira,3.7,True
175,8,6,1,2077-01-21,Quinta-feira,3.7,True
176,8,6,1,2077-01-22,Sexta-feira,3.7,True
177,8,6,1,2077-01-23,Sábado,0.0,False
178,8,6,1,2077-01-24,Domingo,0.0,False
179,8,6,1,2077-01-25,Segunda-feira,3.7,True
180,8,6,1,2077-01-26,Terça-feira,3.7,True
181,8,6,1,2077-01-27,Quarta-feira,3.7,True
182,8,6,1,2077-01-28,Quinta-feira,3.7,True
183,8,6,1,2077-01-29,Sexta-feira,3.7,True
184,8,6,1,2077-01-30,Sábado,0.0,False
185,8,6,1,2077-01-31,Domingo,0.0,False
186,21,7,4,2077-01-01,Sexta-feira,5.0,True
187,21,7,4,2077-01-02,Sábado,0.0,False
188,21,7,4,2077-01-03,Domingo,5.0,True
189,21,7,4,2077-01-04,Segunda-feira,5.0,True
190,21,7,4,2077-01-05,Terça-feira,5.0,True
191,21,7,4,2077-01-06,Quarta-feira,5.0,True
192,21,7,4,2077-01-07,Quinta-feira,0.0,False
193,21,7,4,2077-01-08,Sexta-feira,5.0,True
194,21,7,4,2077-01-09,Sábado,0.0,False
195,21,7,4,2077-01-10,Domingo,5.0,True
196,21,7,4,2077-01-11,Segunda-feira,5.0,True
197,21,7,4,2077-01-12,Terça-feira,5.0,True
198,21,7,4,2077-01-13,Quarta-feira,5.0,True
199,21,7,4,2077-01-14,Quinta-feira,0.0,False
200,21,7,4,2077-01-15,Sexta-feira,5.0,True
201,21,7,4,2077-01-16,Sábado,0.0,False
202,21,7,4,2077-01-17,Domingo,5.0,True
203,21,7,4,2077-01-18,Segunda-feira,5.0,True
204,21,7,4,2077-01-19,Terça-feira,5.0,True
205,21,7,4,2077-01-20,Quarta-feira,5.0,True
206,21,7,4,2077-01-21,Quinta-feira,0.0,False
207,21,7,4,2077-01-22,Sexta-feira,5.0,True
208,21,7,4,2077-01-23,Sábado,0.0,False
209,21,7,4,2077-01-24,Domingo,0.0,False
210,21,7,4,2077-01-25,Segunda-feira,5.0,True
211,21,7,4,2077-01-26,Terça-feira,5.0,True
212,21,7,4,2077-01-27,Quarta-feira,5.0,True
213,21,7,4,2077-01-28,Quinta-feira,0.0,False
214,21,7,4,2077-01-29,Sexta-feira,5.0,True
215,21,7,4,2077-01-30,Sábado,0.0,False
216,21,7,4,2077-01-31,Domingo,5.0,True
217,39,8,4,2077-01-01,Sexta-feira,0.0,False
218,39,8,4,2077-01-02,Sábado,4.625,True
219,39,8,4,2077-01-03,Domingo,0.0,False
220,39,8,4,2077-01-04,Segunda-feira,4.625,True
221,39,8,4,2077-01-05,Terça-feira,4.625,True
222,39,8,4,2077-01-06,Quarta-feira,4.625,True
223,39,8,4,2077-01-07,Quinta-feira,4.625,True
224,39,8,4,2077-01-08,Sexta-feira,0.0,False
225,39,8,4,2077-01-09,Sábado,4.625,True
226,39,8,4,2077-01-10,Domingo,0.0,False
227,39,8,4,2077-01-11,Segunda-feira,4.625,True
228,39,8,4,2077-01-12,Terça-feira,4.625,True
229,39,8,4,2077-01-13,Quarta-feira,4.625,True
230,39,8,4,2077-01-14,Quinta-feira,4.625,True
231,39,8,4,2077-01-15,Sexta-feira,0.0,False
232,39,8,4,2077-01-16,Sábado,4.625,True
233,39,8,4,2077-01-17,Domingo,0.0,False
234,39,8,4,2077-01-18,Segunda-feira,4.625,True
235,39,8,4,2077-01-19,Terça-feira,4.625,True
236,39,8,4,2077-01-20,Quarta-feira,4.625,True
237,39,8,4,2077-01-21,Quinta-feira,4.625,True
238,39,8,4,2077-01-22,Sexta-feira,0.0,False
239,39,8,4,2077-01-23,Sábado,4.625,True
240,39,8,4,2077-01-24,Domingo,0.0,False
241,39,8,4,2077-01-25,Segunda-feira,4.625,True
242,39,8,4,2077-01-26,Terça-feira,4.625,True
243,39,8,4,2077-01-27,Quarta-feira,4.625,True
244,39,8,4,2077-01-28,Quinta-feira,4.625,True
245,39,8,4,2077-01-29,Sexta-feira,0.0,False
246,39,8,4,2077-01-30,Sábado,4.625,True
247,39,8,4,2077-01-31,Domingo,0.0,False
248,58,9,4,2077-01-01,Sexta-feira,3.75,True
249,58,9,4,2077-01-02,Sábado,3.75,True
250,58,9,4,2077-01-03,Domingo,0.0,False
251,58,9,4,2077-01-04,Segunda-feira,0.0,False
252,58,9,4,2077-01-05,Terça-feira,3.75,True
253,58,9,4,2077-01-06,Quarta-feira,3.75,True
254,58,9,4,2077-01-07,Quinta-feira,3.75,True
255,58,9,4,2077-01-08,Sexta-feira,3.75,True
256,58,9,4,2077-01-09,Sábado,3.75,True
257,58,9,4,2077-01-10,Domingo,0.0,False
258,58,9,4,2077-01-11,Segunda-feira,0.0,False
259,58,9,4,2077-01-12,Terça-feira,3.75,True
260,58,9,4,2077-01-13,Quarta-feira,3.75,True
261,58,9,4,2077-01-14,Quinta-feira,3.75,True
262,58,9,4,2077-01-15,Sexta-feira,3.75,True
263,58,9,4,2077-01-16,Sábado,3.75,True
264,58,9,4,2077-01-17,Domingo,0.0,False
265,58,9,4,2077-01-18,Segunda-feira,0.0,False
266,58,9,4,2077-01-19,Terça-feira,3.75,True
267,58,9,4,2077-01-20,Quarta-feira,3.75,True
268,58,9,4,2077-01-21,Quinta-feira,3.75,True
269,58,9,4,2077-01-22,Sexta-feira,3.75,True
270,58,9,4,2077-01-23,Sábado,3.75,True
271,58,9,4,2077-01-24,Domingo,0.0,False
272,58,9,4,2077-01-25,Segunda-feira,0.0,False
273,58,9,4,2077-01-26,Terça-feira,3.75,True
274,58,9,4,2077-01-27,Quarta-feira,3.75,True
275,58,9,4,2077-01-28,Quinta-feira,3.75,True
276,58,9,4,2077-01-29,Sexta-feira,3.75,True
277,58,9,4,2077-01-30,Sábado,3.75,True
278,58,9,4,2077-01-31,Domingo,0.0,False
279,19,10,3,2077-01-01,Sexta-feira,3.5999999999999996,True
280,19,10,3,2077-01-02,Sábado,3.5999999999999996,True
281,19,10,3,2077-01-03,Domingo,3.5999999999999996,True
282,19,10,3,2077-01-04,Segunda-feira,0.0,False
283,19,10,3,2077-01-05,Terça-feira,0.0,False
284,19,10,3,2077-01-06,Quarta-feira,3.5999999999999996,True
285,19,10,3,2077-01-07,Quinta-feira,3.5999999999999996,True
286,19,10,3,2077-01-08,Sexta-feira,3.5999999999999996,True
287,19,10,3,2077-01-09,Sábado,3.5999999999999996,True
288,19,10,3,2077-01-10,Domingo,3.5999999999999996,True
289,19,10,3,2077-01-11,Segunda-feira,0.0,False
290,19,10,3,2077-01-12,Terça-feira,0.0,False
291,19,10,3,2077-01-13,Quarta-feira,3.5999999999999996,True
292,19,10,3,2077-01-14,Quinta-feira,3.5999999999999996,True
293,19,10,3,2077-01-15,Sexta-feira,3.5999999999999996,True
294,19,10,3,2077-01-16,Sábado,3.5999999999999996,True
295,19,10,3,2077-01-17,Domingo,3.5999999999999996,True
296,19,10,3,2077-01-18,Segunda-feira,0.0,False
297,19,10,3,2077-01-19,Terça-feira,0.0,False
298,19,10,3,2077-01-20,Quarta-feira,3.5999999999999996,True
299,19,10,3,2077-01-21,Quinta-feira,3.5999999999999996,True
300,19,10,3,2077-01-22,Sexta-feira,3.5999999999999996,True
301,19,10,3,2077-01-23,Sábado,3.5999999999999996,True
302,19,10,3,2077-01-24,Domingo,0.0,False
303,19,10,3,2077-01-25,Segunda-feira,0.0,False
304,19,10,3,2077-01-26,Terça-feira,0.0,False
305,19,10,3,2077-01-27,Quarta-feira,3.5999999999999996,True
306,19,10,3,2077-01-28,Quinta-feira,3.5999999999999996,True
307,19,10,3,2077-01-29,Sexta-feira,3.5999999999999996,True
308,19,10,3,2077-01-30,Sábado,3.5999999999999996,True
309,19,10,3,2077-01-31,Domingo,3.5999999999999996,True
310,23,11,5,2077-01-01,Sexta-feira,5.2,True
311,23,11,5,2077-01-02,Sábado,0.0,False
312,23,11,5,2077-01-03,Domingo,0.0,False
313,23,11,5,2077-01-04,Segunda-feira,5.2,True
314,23,11,5,2077-01-05,Terça-feira,5.2,True
315,23,11,5,2077-01-06,Quarta-feira,5.2,True
316,23,11,5,2077-01-07,Quinta-feira,5.2,True
317,23,11,5,2077-01-08,Sexta-feira,5.2,True
318,23,11,5,2077-01-09,Sábado,0.0,False
319,23,11,5,2077-01-10,Domingo,0.0,False
320,23,11,5,2077-01-11,Segunda-feira,5.2,True
321,23,11,5,2077-01-12,Terça-feira,5.2,True
322,23,11,5,2077-01-13,Quarta-feira,5.2,True
323,23,11,5,2077-01-14,Quinta-feira,5.2,True
324,23,11,5,2077-01-15,Sexta-feira,5.2,True
325,23,11,5,2077-01-16,Sábado,0.0,False
